RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,Name,Model,Owner
3699,27/02/2014,Severn Trent Water,Severn Trent STW,Wind Onshore,2.5,2.5,1,,Operational,"Fillingate, Wanlip, Leicester",Leicestershire,East Midlands,England,LE7 4PF,459710,311517,26/02/2014,,,
3700,31/05/2016,Falck Renewables,Spaldington Airfield,Wind Onshore,12.5,2.5,5,,Operational,"Holme Road, Spaldington, East Riding, Yorkshire. DN14 7NB",Humberside,Yorkshire and Humber,England,,479158,433880,11/05/2016,,,
3701,25/03/2015,Octopus Investements/Blue Energy (previously Auquhirie Land Company Ltd),Hillhead of Auquhirie,Wind Onshore,6.9,2.3,3,,Operational,"Hillhead of Auquhirie, Stonehaven",Grampian,Scotland,Scotland,,328500,785500,16/01/2013,,,
3702,25/03/2015,Scottish Power Renewables,Middleton Wind Farm,Wind Onshore,12,2,6,,Operational,"East Refrewshire, G77 6",Strathclyde,Scotland,Scotland,,253158,656019,04/09/2013,,,
3703,25/03/2015,Renewable Energy Generation,Orchard End,Wind Onshore,4,2,2,,Operational,"land at Orchard End, near Pilling, Eagland Hill, Preston",Lancashire,North West,England,,343216,445233,17/06/2013,,,
3705,24/08/2015,Pennant Walters,Mynydd Bwllfa Wind Farm - Resubmission,Wind Onshore,22.5,2.5,9,,Operational,South of Hirwaun,Mid Glamorgan,Wales,Wales,,295787,202855,08/05/2015,,,
3707,01/05/2018,Foresight,Tirgwynt,Wind Onshore,24.6,2.05,12,,Operational,"Mynydd yr Hendre & Mynydd Pistyll Du Near Carno, Powys",Powys,Wales,Wales,,299943,302442,15/02/2017,,,
3711,04/10/2017,Renewables Infrastructure Group (TRIG),Garreg Lwyd,Wind Onshore,34,2,23,137,Operational,"Garreg Lwyd Hill Between Felindre & Llanbadarn Fynydd, Llandrindod Wells, Powys",Powys,Wales,Wales,LD1 6YF,312758,280228,22/02/2017,,,
3713,11/08/2017,Gaelectric Developments/ CGN Europe Energy,Crockbrack,Wind Onshore,2,2,1,,Operational,"(north of Loughmarve Road and west of Gortscraheen Road, with access via Loughmallon Road), Limehill, Pomeroy, County Tyrone.",Co. Tyrone,Northern Ireland,Northern Ireland,,80213,535661,20/03/2017,,,
3716,05/01/2015,Lowlands Health & Energy Ltd ,Connaught Road,Wind Onshore,1.7,0.85,2,,Operational,"Approx 130m NW of 44 Connaught Road, Randalstown",Co. Antrim,Northern Ireland,Northern Ireland,BT41 2NX,123057,549749,11/10/2012,,,
3717,03/12/2012,Northern Wind Power ,Crockagarron Ext,Wind Onshore,2.5,2.5,1,,Operational,"Lands to the East of Whitebridge Road and South of Gleneeny Road, on lands at Crockagarron in the Townland of Gleneeny, Co Tyrone.",Co. Tyrone,Northern Ireland,Northern Ireland,,76240,528915,01/06/2012,,,
3718,07/01/2015,Green Cat Renewables,Castle of Auchry Farm,Wind Onshore,2.4,0.8,3,,Operational,"Cuminestown, Turriff, Aberdeenshire",Grampian,Scotland,Scotland,AB53 5UR,373109,821437,01/11/2013,Hill of Eastertown,Vestas V52,Mackies Icecream Factories
3722,06/01/2014,Lovie Ltd,Little Byth,Wind Onshore,4.5,1.5,3,,Operational,"New Byth, Turriff. AB53 5XR",Grampian,Scotland,Scotland,,382764,857480,31/12/2012,,,
3723,07/01/2015,Green Cat Renewables,Yonderton Farm,Wind Onshore,1,0.5,2,,Operational,"Hatton, Peterhead, Aberdeenshire",Grampian,Scotland,Scotland,AB42 0QS,403588,837834,01/12/2014,,,
