Name,Model,Owner,Coordinates,wiki_coords
Longpark,REpower MM82,EDF EN,55°40′23″N 02°50′11″W﻿ / ﻿55.67306°N 2.83639°W,"(55.67306, -2.83639)"
Burradale Phase 1,Vestas V47,Shetland Aerogenerators,60°09′53″N 01°14′10″W﻿ / ﻿60.16472°N 1.23611°W,"(60.16472, -1.23611)"
Burradale Phase 2,Vestas V52,Shetland Aerogenerators,60°09′53″N 01°14′10″W﻿ / ﻿60.16472°N 1.23611°W,"(60.16472, -1.23611)"
Arecleoch,Gamesa G80,ScottishPower Renewables,55°03′12″N 04°52′56″W﻿ / ﻿55.05333°N 4.88222°W,"(55.05333, -4.88222)"
"Hadyard Hill, Barr",Bonus B2300,SSE plc,55°14′45″N 04°43′23″W﻿ / ﻿55.24583°N 4.72306°W,"(55.24583, -4.72306)"
Black Law Phase I,Siemens SWT-2.3,ScottishPower,55°46′01″N 03°44′20″W﻿ / ﻿55.76694°N 3.73889°W,"(55.76694, -3.73889)"
Black Law Phase II,Siemens SWT-2.3,ScottishPower,55°46′01″N 03°44′20″W﻿ / ﻿55.76694°N 3.73889°W,"(55.76694, -3.73889)"
Greendykeside Wind Farm,REpower MM82,-,55°54′30″N 03°54′07″W﻿ / ﻿55.90833°N 3.90194°W,"(55.90833, -3.90194)"
Hagshaw Hill,Bonus B600,ScottishPower,55°33′02″N 03°55′06″W﻿ / ﻿55.55056°N 3.91833°W,"(55.55056, -3.91833)"
Lochhead Farm,REpower MM82,-,55°42′17″N 03°56′46″W﻿ / ﻿55.70472°N 3.94611°W,"(55.70472, -3.94611)"
Braes of Doune,Vestas V80,Airtricity/Centrica,56°16′34″N 04°03′45″W﻿ / ﻿56.27611°N 4.06250°W,"(56.27611, -4.0625)"
Burnfoot Hill,REpower MM82,-,56°12′41″N 03°46′01″W﻿ / ﻿56.21139°N 3.76694°W,"(56.21139, -3.76694)"
Craigengelt,Nordex N80,-,56°03′07″N 04°02′23″W﻿ / ﻿56.05194°N 4.03972°W,"(56.05194, -4.03972)"
Earlsburn,Nordex N80,Falck Renewables,56°05′00″N 04°05′00″W﻿ / ﻿56.08333°N 4.08333°W,"(56.08333, -4.08333)"
Rhodders,Senvion MM82,-,56°09′14″N 03°44′24″W﻿ / ﻿56.15389°N 3.74000°W,"(56.15389, -3.74)"
Pates Hill,Vestas V80,Winscales Moor Wind Farm Ltd,55°48′32″N 03°35′57″W﻿ / ﻿55.80889°N 3.59917°W,"(55.80889, -3.59917)"
Arnish Moor,Nordex N60,John Moulton,58°10′42″N 06°25′39″W﻿ / ﻿58.17833°N 6.42750°W,"(58.17833, -6.4275)"
