,RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,gov_coords
3097,3887,18/07/2017,Welsh Water,Nash Waste Water Treatment Works Turbine,Wind Onshore,2.5,2.5,1.0,,Operational,"West Nash Road, Nash NP18 2YH",Gwent,Wales,Wales,,333598,184016.0,15/03/2017,"(51.551107921257675, -2.9590729638980013)"
3100,3890,20/01/2015,Blue Energy,Marston Vale Country Park Wind Turbine,Wind Onshore,1.5,1.5,1.0,,Operational,"The Marston Vale Millennium Country Park, Station Road, Marston Moretaine, Bedford, MK43 0PR",Bedfordshire,Eastern,England,,500498,241710.0,01/05/2014,"(52.06465808448634, -0.5353973411421683)"
3103,3893,15/03/2018,Spencer Group,Energy Works Hull - Wind Turbine,Wind Onshore,3.0,3.0,1.0,,Operational,"Cleveland Street (former Adm Cocoa Plant), Dalton Street, Kingston Upon Hull, Humberside",Humberside,Yorkshire and Humber,England,HU8 8BB,510170,430424.0,01/03/2018,"(53.75853532311629, -0.3304002258151529)"
3105,3896,04/01/2016,Awel Aman Tawe Community Energy,Mynydd Y Gwrhyd Windfarm,Wind Onshore,4.7,2.35,2.0,,Operational,Mynydd Y Gwrhyd,West Glamorgan,Wales,Wales,,272659,210474.0,01/12/2017,"(51.77840129655246, -3.847238645963587)"
3106,3897,17/12/2015,Severn Trent Water,Severn Trent Water - Stoke Bardolph Wind Turbine,Wind Onshore,1.5,2.5,1.0,,Operational,"Stoke Lane, Stoke, Bardolph, Nottinghamshire",Nottinghamshire,East Midlands,England,NG14 5HL,464294,342475.0,15/12/2015,"(52.97577902203545, -1.0439660635494907)"
3111,3902,20/05/2014,Ayre Energy/Aquatera Ltd,Barns of Ayre Wind Turbines (2),Wind Onshore,1.8,0.9,2.0,,Operational,"Deerness, Orkney",Orkney Islands,Scotland,Scotland,,358890,1004047.0,01/07/2013,"(58.92171768462033, -2.7156493936194726)"
3113,3904,03/10/2016,Renewable Energy Partnerships Ltd,Newton Down,Wind Onshore,5.0,2.0,2.0,,Operational,Bridgend,Mid Glamorgan,Wales,Wales,,284252,179465.0,29/09/2016,"(51.502231015657294, -3.669010004433503)"
3114,3905,31/10/2016,Ventient (formerly Infinis),North Steads Wind Farm,Wind Onshore,18.5,3.0,9.0,,Operational,Situated between Widdrington and Red Row to the west of the A1068,Northumberland,North East,England,,423943,596828.0,04/07/2016,"(55.26503502541755, -1.6247740014827947)"
3120,3911,04/04/2017,LocoGen/ Green Cat Renewables ,Hill of Tillymorgan (Kirkton Farm) Wind turbines,Wind Onshore,9.6,3.2,3.0,,Operational,"Hill of Tillymorgan, Culsalmond, Insch",Grampian,Scotland,Scotland,AB52 6TT,363363,828345.0,01/12/2016,"(57.34413254301258, -2.6103614479566195)"
3124,3915,23/05/2018,PI Renewables 2 Ltd,LADEHEAD FARM - WIND TURBINES,Wind Onshore,2.4,1.3,3.0,,Operational,Ladehead Farm Lesmahagow ,Strathclyde,Scotland,Scotland,ML11 0HZ,279142,641223.0,15/09/2016,"(55.649463563725284, -3.9221163364590503)"
3126,3917,11/08/2015,Airvolution Energy,Garlenick Estate 2 - Wind Turbines,Wind Onshore,4.0,2.0,2.0,,Operational,Garlenick Estate Grampound Cornwall,Cornwall,South West,England,,194662,49203.0,18/06/2015,"(50.30693591557819, -4.885054987982519)"
3127,3918,22/04/2016,George Richards Farms Partnership,Goonabarn Farm Wind Turbines,Wind Onshore,1.0,0.5,2.0,,Operational,Goonabarn Farm Summercourt Newquay Cornwall TR8 5BL,Cornwall,South West,England,,189473,54165.0,01/04/2016,"(50.349670724847144, -4.960596057281792)"
3133,3924,25/11/2015,The Farm Energy Partnership LLP,Bloodhills - repowering,Wind Onshore,1.0,0.5,2.0,,Operational,"Bloodhills Farm, Bloodhills East Somerton Great Yarmouth NR29 4DU",Norfolk,Eastern,England,,647642,318446.0,15/06/2015,"(52.70697801112527, 1.6644214073685406)"
3134,3925,25/10/2016,2020 Renewables/ NTR,Ardoch and Over Enoch Wind Farm (Ardoch),Wind Onshore,7.2,2.5,3.0,110.0,Operational,"Ardoch Farm, Over Enoch Road, Eaglesham, East Renfrewshire ",Strathclyde,Scotland,Scotland,G76 0PL,258534,649697.0,12/11/2014,"(55.71998050917197, -4.253708672965079)"
3136,3927,04/03/2014,Bristol City Council - Energy Management Unit,Avonmouth Port II,Wind Onshore,5.0,2.5,2.0,,Operational,"Former Shell Tanker Site
Severn Road
Avonmouth
Bristol",Avon,South West,England,,353360,182375.0,30/09/2013,"(51.53833794330007, -2.6738643100251194)"
3137,3928,23/08/2012,E.ON Renewables,Tween Bridge Windfarm,Wind Onshore,44.0,2.0,22.0,,Operational,"Tween Bridge, Thorne, Doncaster, South Yorks",South Yorkshire,Yorkshire and Humber,England,DN8 5,470500,414500.0,27/02/2012,"(53.62230198878349, -0.9355902145925464)"
3140,3931,04/06/2018,Gresham House,Mynydd Portref,Wind Onshore,9.4,0.85,11.0,,Operational,"N of Brynna, E of existing Taff Ely Wind Farm",Mid Glamorgan,Wales,Wales,,298897,185178.0,26/03/2012,"(51.55639480319496, -3.4597357047926947)"
3141,3932,05/06/2013,Pennant Walters,Fforch Nest Wind Farm pt2,Wind Onshore,17.5,2.5,7.0,,Operational,"Mynydd Maesteg and Mynydd Pwllyrhebog, Ogmore and Rhondda Valleys",Mid Glamorgan,Wales,Wales,,296500,190800.0,24/05/2013,"(51.60649169741984, -3.4959571970808394)"
3142,3933,04/01/2017,Energia Renewables,Gortfinbar,Wind Onshore,15.0,2.5,6.0,,Operational,"Sixmilecross/Carrickmore, Omagh",Co. Tyrone,Northern Ireland,Northern Ireland,,75490,528123.0,22/12/2016,"(54.543999681991714, -7.0197014765237995)"
3143,3934,03/01/2017,Gaelectric Developments/ CGN Europe Energy,Carn Hill,Wind Onshore,13.8,2.3,6.0,,Operational,"Lands north of Slievetrue Road, Carn Hill/Rea Hill, Newtownabbey, Co Antrim",Co. Antrim,Northern Ireland,Northern Ireland,,148254,544393.0,08/05/2013,"(54.731296825553976, -5.911801499820508)"
3144,3935,30/09/2016,DIF,Wadlow Wind Farm,Wind Onshore,26.0,2.0,13.0,,Operational,"Nr West Wratting, South Cambridgeshire",Cambridgeshire,Eastern,England,,558500,254500.0,01/09/2012,"(52.1660105186889, 0.3160471817664649)"
3145,3936,22/01/2014,Npower Renewables,Bradwell Wind Farm (Repower),Wind Onshore,20.0,2.0,10.0,,Operational,"Bradwell on Sea, Maldon",Essex,Eastern,England,,595000,205000.0,30/09/2013,"(51.7098352730216, 0.8210429846401599)"
3146,3937,17/05/2012,Banks Renewables,Hazlehead,Wind Onshore,6.0,2.0,3.0,,Operational,"to the rear of Hepworth's factory, Crow Edge",South Yorkshire,Yorkshire and Humber,England,,417915,403915.0,16/12/2011,"(53.531589745683334, -1.7311982470799803)"
3147,3938,25/02/2013,Npower Renewables,Kiln Pit Hill Windfarm,Wind Onshore,12.0,2.0,6.0,,Operational,"land to the east of A68, approx 1km SE of Kiln Pit Hill",Northumberland,North East,England,,405590,554583.0,01/08/2012,"(54.88596549003633, -1.9143906439896101)"
3150,3941,19/11/2014,Otter Power,Otterham Down Wind Farm,Wind Onshore,3.2,0.8,4.0,,Operational,"Otterham, Camelford",Cornwall,South West,England,,215700,90500.0,17/08/2011,"(50.68489176536688, -4.610326803472088)"
3151,3942,05/01/2015,Greencoat UK Wind,Sixpenny Wood Windfarm,Wind Onshore,33.0,3.3,10.0,,Operational,"Between Eastrington, Gilberdyke, Kilpin and Laxton",Humberside,Yorkshire and Humber,England,,478500,427500.0,15/07/2013,"(53.73798639496661, -0.8113817436072052)"
3152,3943,05/01/2015,Greencoat UK Wind,Earl's Hall,Wind Onshore,10.3,2.05,5.0,,Operational,"Earls Hall Farm, Clacton on Sea, Essex",Essex,Eastern,England,,614550,216860.0,13/01/2013,"(51.809183592124704, 1.1108980015070415)"
3153,3944,02/11/2012,Private Developer,Mawdesley Moss,Wind Onshore,2.3,0.75,3.0,,Operational,"Cliff Farm
Mawdesley Moss
Chorley
Lancashire",Lancashire,North West,England,,348500,415500.0,01/08/2012,"(53.6334757645609, -2.780298292067513)"
3155,3946,06/05/2014,Chelveston Renewable Energy,Chelveston Renewable Energy Park Wind Farm (East Northamptonshire),Wind Onshore,12.5,2.5,5.0,,Operational,"Chelveston Airfield
East Northamptonshore",Northamptonshire,East Midlands,England,,499885,268015.0,15/02/2014,"(52.301184857811506, -0.5365964763338839)"
3156,3947,08/05/2013,Harworth Power,Bewick Drift,Wind Onshore,2.3,2.3,1.0,,Operational,Land at former Lynemouth coal handling store north of existing Lynemouth Power Station,Northumberland,North East,England,,428275,591310.0,31/03/2013,"(55.21522449666322, -1.5571580997486651)"
3157,3948,07/11/2013,John Laing Environmental Assets Group/REG Power Management,Hall Farm Routh,Wind Onshore,24.6,2.05,12.0,,Operational,"Land North Of, Hall Farm Acc Rd To Crowshore Plantation, Routh, East Riding Of Yorkshire, HU17 9SL",Humberside,Yorkshire and Humber,England,,507865,443185.0,28/05/2013,"(53.873665102145026, -0.36087915047332714)"
3160,3951,30/08/2013,Fred Olsen Renewables,Rothes Wind Farm (Extension) (II),Wind Onshore,41.4,2.3,18.0,,Operational,"Rothes Windfarm, at Cairn Uish near Elgin",Grampian,Scotland,Scotland,,318500,850500.0,15/04/2013,"(57.53726375019279, -3.362957508939726)"
3162,3953,12/12/2013,Airtricity,Glenconway,Wind Onshore,18.4,2.3,8.0,,Operational,"Land at Glenconway Hill off Baranailt Road, (Adjacent to Loughermore Forest and north of Altahullion windfarm), Limavady.",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,78301,576178.0,07/11/2013,"(54.975992638734155, -7.029608757454995)"
3164,3955,12/12/2013,Scottish and Southern Energy (SSE),Glenconway 2 (formerly Altahullion Phase III),Wind Onshore,27.6,2.3,12.0,,Operational,"Altahullion Phase III Wind Farm in the townlands of Drum, Glenconway and Ballymoney, near Dungiven",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,77926,575589.0,07/11/2013,"(54.97047812574787, -7.034783392035551)"
3165,3956,05/06/2013,Pennant Walters,Fforch Nest Wind Farm pt1,Wind Onshore,10.0,2.5,4.0,,Operational,Land North of Glynogwr,Mid Glamorgan,Wales,Wales,,296600,191300.0,24/05/2013,"(51.611004205487774, -3.494661336401579)"
3166,3957,24/10/2018,Good Energy (previously nPower Renewables),Hampole Wind Farm,Wind Onshore,8.0,2.0,4.0,,Operational,"Land Near Hampole Wood
Hampole
Doncaster",South Yorkshire,Yorkshire and Humber,England,,449430,409145.0,31/03/2014,"(53.57658199560625, -1.254956924145632)"
3167,3958,04/04/2013,Ventient (formerly Infinis),Blackstone Edge,Wind Onshore,7.5,2.5,3.0,,Operational,"Blackstone Edge, Penistone",South Yorkshire,Yorkshire and Humber,England,,419565,405226.0,01/03/2013,"(53.54331482680485, -1.7062246284686742)"
3170,3961,04/12/2016,Energia Renewables,Glenbuck,Wind Onshore,9.2,2.3,4.0,,Operational,"Glenbuck, Dunloy",Co. Antrim,Northern Ireland,Northern Ireland,,118000,577300.0,22/12/2016,"(55.01009186087857, -6.41242074840638)"
3171,3962,15/12/2017,Energia ,Glenbuck II,Wind Onshore,6.9,3.0,5.0,,Operational,Glenbuck,Co. Antrim,Northern Ireland,Northern Ireland,,118000,577300.0,01/03/2017,"(55.01009186087857, -6.41242074840638)"
3172,3963,29/03/2012,Banks Renewables,Marr Windfarm,Wind Onshore,8.0,2.0,4.0,,Operational,"Marr, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,,450491,404311.0,18/01/2012,"(53.533035456804136, -1.2397137170055372)"
3173,3964,26/11/2013,TNEI Services Ltd,Nissan Motors Plant Extn,Wind Onshore,2.0,0.6,3.0,,Operational,"Nissan Motors Plant, Sunderland, Tyne and Wear",Tyne and Wear,North East,England,,433385,557810.0,01/04/2008,"(54.913886254360484, -1.480759663563157)"
3177,3968,09/05/2012,"Infinis, previously Broadview Energy",Hill of Fiddes,Wind Onshore,6.9,2.3,3.0,,Operational,"Hill of Fiddes
Udny Station
Cultercullen",Grampian,Scotland,Scotland,,393495,824485.0,20/02/2010,"(57.31089224802981, -2.1096246702815873)"
3178,3969,16/08/2013,TCI Renewables,Dunmore,Wind Onshore,21.0,3.0,7.0,,Operational,"Town land of Dunmore approximately eight kilometres north east of Limavady, County Londonderry",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,88015,585846.0,25/04/2013,"(55.06872840587333, -6.8889537930096845)"
3179,3971,05/01/2015,Greencoat UK Wind,Cotton Farm,Wind Onshore,20.0,2.5,8.0,,Operational,"Land between Graveley, Offord Darcy and Great Paxton",Cambridgeshire,Eastern,England,,523270,264130.0,31/03/2013,"(52.26153031085006, -0.19523882601778045)"
3180,3972,25/06/2013,Flimby Wind Energy Ltd,Land at Flimby Hall Farm,Wind Onshore,6.2,2.05,3.0,,Operational,"Flimby, Maryport,",Cumbria,North West,England,,302500,533500.0,14/06/2013,"(54.687073909433124, -3.5139714380034555)"
3184,3976,01/11/2013,Scottish Power Renewables,Carland Cross Wind Farm Repowering,Wind Onshore,20.0,2.0,10.0,,Operational,"Carland Cross, Mitchell, Truro",Cornwall,South West,England,,184500,54500.0,30/10/2013,"(50.350879640406355, -5.0305873325454336)"
3186,3978,05/01/2015,Greencoat UK Wind,Yelvertoft Wind Farm,Wind Onshore,16.0,2.0,8.0,,Operational,"Land Adjacent Glebe Farm, Hillmorton Lane, Yelvertoft (Access Off Rugby Road, Crick), Northamptonshire",Northamptonshire,East Midlands,England,,457887,275532.0,11/07/2013,"(52.37477999206554, -1.1511098190341478)"
3188,3980,25/02/2013,Eco2 /GreenCAT,Mains of Hatton,Wind Onshore,2.4,0.8,3.0,,Operational,"Kirktown of Auchterless
Aberdeenshire",Grampian,Scotland,Scotland,,396115,858370.0,20/03/2012,"(57.61529637910062, -2.066687665476805)"
3189,3981,22/04/2013,Scottish Power Renewables,Whitelee Windfarm Extension Phase 1,Wind Onshore,108.0,3.0,36.0,,Operational,"Eaglesham Moor, to the south of Glasgow",Strathclyde,Scotland,Scotland,,256300,645000.0,31/10/2012,"(55.6771536270315, -4.286777643353905)"
3190,3982,04/07/2017,Scottish Equity Partners,Tilbury Docks,Wind Onshore,12.0,3.0,4.0,,Operational,"Installed from the Dock entrance along to the GradeII listed Cruise Terminal, Tilbury Docks, Tilbury",Essex,Eastern,England,,562450,175735.0,25/03/2013,"(51.45728692503873, 0.3368486134530492)"
3192,3984,29/11/2012,Broadview Energy,Seamer Windfarm - Stockton on Tees,Wind Onshore,6.0,2.0,3.0,,Operational,Between the villages of Hilton and Seamer on the Stockton-on-Tees and North Yorkshire boundaries.,County Durham,North East,England,,448125,511235.0,01/11/2012,"(54.49417174727331, -1.2585208221826603)"
3193,3985,24/01/2013,REG Windpower (previously  Cornwall Light & Power),South Sharpley Wind Farm (Revised),Wind Onshore,7.5,2.5,3.0,,Operational,"South Sharpley Farm, near Seaham, County Durham",County Durham,North East,England,,438490,549675.0,23/01/2013,"(54.84042028404191, -1.4022141584693324)"
3194,3986,20/05/2013,Banks Renewables,Armistead Wind Farm,Wind Onshore,12.0,2.0,6.0,,Operational,"Land to the east of Crosslands Farm, near Old Hutton, Kendal South Lakeland, LA6 2QJ",Cumbria,North West,England,,358500,486900.0,11/02/2013,"(54.276049995173835, -2.638819534092031)"
3195,3987,03/06/2013,Energiekontor UK,Withernwick,Wind Onshore,18.0,2.0,9.0,,Operational,"Land North And North East
Homer House
Aldbrough Road
Withernwick
East Riding Of Yorkshire",Humberside,Yorkshire and Humber,England,,520325,440375.0,19/03/2013,"(53.84568568369656, -0.17256622316615075)"
3196,3988,16/06/2016,Urras Oighreachd Ghabhsainn,Loch Sminig Wind Project,Wind Onshore,2.7,0.9,3.0,,Operational,"Either side of the road between Baile an Truiseil and Upper Barvas, Stornoway, Isle of Lewis, HS2 0QX",Western Isles,Scotland,Scotland,,137480,952680.0,15/09/2015,"(58.38355582884693, -6.493020518964537)"
3200,3992,20/01/2014,Aeolian Holderness Ltd,Burton Pidsea (Wadworth Hill) Wind Farm,Wind Onshore,10.2,3.4,3.0,,Operational,"Land North East Of
Wadworth Hill House
Greens Lane
Burton Pidsea
East Riding Of Yorkshire",Humberside,Yorkshire and Humber,England,,524497,429743.0,10/01/2014,"(53.74919558419588, -0.11348195930101564)"
3214,4006,04/07/2013,E.ON UK,Camster,Wind Onshore,50.0,2.0,25.0,,Operational,"Lower Camster
Lybster
Caithness",Highland,Scotland,Scotland,,325800,947400.0,09/02/2013,"(58.4086507665401, -3.271514446984195)"
3216,4008,25/11/2013,Longearth Ltd/ Farm Energy,Bu Farm,Wind Onshore,2.7,0.9,3.0,,Operational,"Rothiesholm, Bu Farm, Stronsay, Orkney",Orkney Islands,Scotland,Scotland,,362283,1023560.0,10/05/2002,"(59.097252646145435, -2.660078974138682)"
3217,4009,08/10/2013,Scottish and Southern Energy (SSE),Drumderg,Wind Onshore,36.8,2.3,16.0,,Operational,"Drumderg Hill
Near Alyth
Perth",Tayside,Scotland,Scotland,,324500,748500.0,09/11/2008,"(56.62224632055707, -3.232012263899362)"
3219,4011,01/06/2018,Scottish and Southern Energy (SSE)/ Greencoat UK Wind ,Clyde Wind Farm,Wind Onshore,350.0,2.3,152.0,,Operational,"Clyde Wind farm, Lowther Hills, between Crawford and Nether Howecleuch,
NW of Lockerbie",Strathclyde,Scotland,Scotland,,302500,617500.0,01/10/2012,"(55.44163408233998, -3.542734237680517)"
3221,4013,04/12/2012,RWE npower,Novar Wind Farm (Extension),Wind Onshore,36.8,2.3,16.0,,Operational,"Novar Estate
Evanton
Ross-shire",Highland,Scotland,Scotland,,255500,871500.0,17/09/2012,"(57.7099866660903, -4.426956444746046)"
3222,4014,04/06/2020,Renewable Energy Systems (RES),Hill of Towie (Drummuir),Wind Onshore,48.0,2.3,21.0,,Operational,"Hill of Towie, Knockan and McHattie's Cairn, Drummuir, Keith, Banffshire, Moray",Grampian,Scotland,Scotland,,320000,860000.0,01/06/2012,"(57.62284105863536, -3.341046113585473)"
3223,4015,26/10/2016,Scottish Power Renewables,Ewe Hill,Wind Onshore,13.8,2.3,6.0,,Operational,"Near Langham and Lockerbie
Dumfries",Dumfries and Galloway,Scotland,Scotland,,315000,580000.0,30/05/2016,"(55.10709221706526, -3.3338689795196914)"
3227,4019,04/03/2014,Npower Renewables,Middlemoor,Wind Onshore,54.0,3.0,18.0,,Operational,"North Charlton
Alnwick
Northumberland",Northumberland,North East,England,,414765,622786.0,30/09/2013,"(55.4986391308472, -1.7678381454563226)"
3229,4021,02/05/2013,Baillie Windfarm Ltd,Baillie Wind Farm,Wind Onshore,52.5,2.5,21.0,,Operational,"Bardnaheigh, Westfield, Thurso",Highland,Scotland,Scotland,,302550,965650.0,29/03/2013,"(58.56792108721409, -3.6770209864280043)"
3230,4022,08/10/2013,REG Windpower (previously Cornwall Light and Power),Braich Ddu,Wind Onshore,3.9,1.3,3.0,,Operational,"Braich Ddu, Glanrafon Y Bala, Gwynedd",Gwynedd,Wales,Wales,,267500,301500.0,31/08/2007,"(52.59509415607109, -3.9575838374674865)"
3231,4023,04/12/2017,Greencoat UK Wind,Drone Hill,Wind Onshore,28.6,1.3,22.0,,Operational,"Coldingham
East Berwickshire",Borders,Scotland,Scotland,,383719,667227.0,01/09/2012,"(55.89788731848601, -2.2619287288976966)"
3232,4024,25/01/2012,Scottish and Southern Energy (SSE),Tangy Wind Farm Extension/Tangy 2,Wind Onshore,6.0,0.85,7.0,,Operational,"Kilkenzie, Campbelltown",Strathclyde,Scotland,Scotland,,177000,626200.0,17/06/2011,"(55.478615198358185, -5.530459773169252)"
3234,4026,30/10/2017,Vattenfall,Ray Wind Farm,Wind Onshore,54.4,3.5,16.0,,Operational,"Kirkwhelpington, Newcastle-upon-Tyne, Tyne and Wear",Northumberland,North East,England,NE19 2,395550,587550.0,05/02/2017,"(55.18221927830672, -2.0714215103852496)"
3235,4027,24/12/2013,Scottish and Southern Energy (SSE),Calliachar,Wind Onshore,32.2,2.3,14.0,,Operational,"Nr Aberfeldy, Amulree",Tayside,Scotland,Scotland,,285000,750000.0,30/09/2013,"(56.62767898602949, -3.876077856797993)"
3236,4028,29/02/2012,Greenpower (Griffin) Ltd,Griffin Wind farm,Wind Onshore,156.0,3.0,52.0,,Operational,Griffin Forest,Tayside,Scotland,Scotland,,293600,744600.0,28/02/2012,"(56.58122252243299, -3.7337523701724784)"
3237,4029,04/07/2012,REG Windpower (previously Cornwall Light and Power),High Pow Farm,Wind Onshore,3.9,1.3,3.0,,Operational,"High Pow Farm, Boltons Low Houses, Nr. Wigton, ",Cumbria,North West,England,,323500,544500.0,15/03/2007,"(54.78953648033848, -3.1911983334653393)"
3239,4031,06/03/2014,K E Projects AF,St. Johns Hill,Wind Onshore,15.8,2.8,9.0,,Operational,"Chapel of Barras
nr Kinneff, 
South of Stonehaven",Grampian,Scotland,Scotland,,383500,777500.0,01/04/2013,"(56.88857286190645, -2.272420296668396)"
3240,4032,22/05/2018,Blue Energy,Blackcraig,Wind Onshore,53.0,3.0,23.0,,Operational,"Blackcraig Hill, 6km NE of Balmaclellan",Dumfries and Galloway,Scotland,Scotland,,270500,582500.0,02/03/2018,"(55.11991239799601, -4.0321180807000685)"
3241,4033,19/04/2013,Devon Wind Power Ltd,Fullabrook Down Wind Farm,Wind Onshore,66.0,3.0,22.0,,Operational,"Fullabrook Down, Crackaway, Barton",Devon,South West,England,,253055,141846.0,24/01/2012,"(51.15694596555403, -4.102655774514964)"
3242,4034,17/09/2020,Renewables Infrastructure Group,Little Raith Farm,Wind Onshore,25.0,2.8,9.0,,Operational,"South of A92
Nr Loch Gelly",Fife,Scotland,Scotland,,322245,692552.0,27/11/2012,"(56.119354432658426, -3.252158728826452)"
3247,4039,03/06/2013,Pennant Wind Energy Ventures (PWEV),Pant y wal,Wind Onshore,25.0,2.5,10.0,115.0,Operational,"Mynydd Maesteg, Mynydd Pwlle yr Helog, Ogmore Vale, Rhondda Valley",Mid Glamorgan,Wales,Wales,,295886,191521.0,01/06/2013,"(51.61285886848837, -3.505034560759575)"
3249,4041,02/01/2019,Greencoat (formerly Energia Renewables),Crighshane,Wind Onshore,32.2,2.0,14.0,,Operational,"Crighshane, South of Ballymongan Road, Killeter, Castlederg",Co. Tyrone,Northern Ireland,Northern Ireland,,29021,542409.0,30/06/2012,"(54.63986653966474, -7.752574712969343)"
3250,4042,06/11/2013,Northern Wind Power,Townlands of Carrickatane,Wind Onshore,20.7,2.3,9.0,,Operational,"Townlands of Carrickatane, Castlemellan, Cullion, Gortmellan & Taboe Glebe (Co. Tyrone) and Tirkeeveny & Killymallaght (Co. Derry), accessing onto Gortmellon Road, Cullion, BT47 3TA",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,66757,567963.0,21/03/2013,"(54.89489475586352, -7.199703966211002)"
3252,4044,18/12/2014,EDF/China General Nuclear Power Corporation,Green Rigg,Wind Onshore,36.0,2.0,18.0,,Operational,Near the A68 and Sweethope Lough,Northumberland,North East,England,,392000,582000.0,28/11/2012,"(55.13230203639853, -2.127009822343565)"
3255,4047,02/01/2019,Greencoat (formerly Energia Renewables),Church Hill,Wind Onshore,18.4,2.0,8.0,,Operational,"Church Hill, Meenamullan Road, Killeter, Castlederg, and Magherakeel, Killeter, Castlederg, Co Tyrone.",Co. Tyrone,Northern Ireland,Northern Ireland,,31711,543769.0,01/06/2012,"(54.65399677274787, -7.712814979189822)"
3256,4048,29/11/2011,ESB,Crockagarran,Wind Onshore,15.0,2.5,6.0,,Operational,"Lands to the East of Whitebridge Road and South of Gleneeny Road, on lands at Crockagarron in the Townland of Gleneeny, Co Tyrone.",Co. Tyrone,Northern Ireland,Northern Ireland,,75726,528798.0,29/09/2010,"(54.55019365117639, -7.016810799167739)"
3259,4051,06/03/2013,E.ON UK,Rosehall Hill Forest Windfarm,Wind Onshore,24.7,1.3,19.0,,Operational,"Lairg, Highlands. IV27 4EU",Highland,Scotland,Scotland,,249550,903550.0,28/02/2013,"(57.99562477643569, -4.546950243728645)"
3260,4053,17/06/2015,Energia Renewables,Thornog Windfarm,Wind Onshore,9.2,2.3,4.0,,Operational,"Thornog, 
Meenadoan townland, 
Drumquin. 
Co Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,41160,537686.0,22/09/2014,"(54.60639593458442, -7.559610888480186)"
3261,4054,27/11/2017,Scottish and Southern Energy (SSE),Slieve Divena Phase 2 Wind Farm,Wind Onshore,18.8,2.5,8.0,,Operational,"Slieve Divena Wind Farm Phase II in the townlands of Altcloghfin, Altamuskin and Shantavny Irish, Co Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,BT79,69602,524593.0,16/02/2017,"(54.508596735302305, -7.106399976818087)"
3262,4055,02/05/2013,I & H Brown Ltd,Bankend Rig,Wind Onshore,14.3,1.3,11.0,,Operational,Near Dungavel Reservoir,Strathclyde,Scotland,Scotland,,265553,633692.0,27/03/2013,"(55.57827150940525, -4.134221209656178)"
3263,4056,08/10/2013,Mackies,Hill of Easterton Extension,Wind Onshore,2.0,1.0,2.0,,Operational,"Hill of Easterton, 1km North Of Mackies Ice Cream Dairy, Westertown, Rothienorman, Inverurie, AB51 8US",Grampian,Scotland,Scotland,,376449,831808.0,31/07/2007,"(57.37610585497129, -2.3932806181883666)"
3264,4057,30/11/2016,Blackrock Real Assets,Batsworthy Cross,Wind Onshore,18.0,2.0,9.0,103.0,Operational,"Batsworthy Cross, Creacombe, North Devon",Devon,South West,England,,281500,120500.0,07/04/2016,"(50.971687898652085, -3.6891128127042343)"
3265,4058,25/01/2012,Airtricity,Slieve Kirk,Wind Onshore,27.6,2.3,12.0,,Operational,"Lands bounded by Bigwood Road, Kildoag Road & Castlewarren Road, within the townlands of Lisdillon, Kildoag in Co Derry, Knockbrack, Gosheden, Lackagh, Ardground, Legagh in Co Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,61258,571215.0,01/10/2011,"(54.920299862156625, -7.288902661015142)"
3266,4059,02/07/2020,EDF Energy Renewables,Fallago Rig,Wind Onshore,144.0,3.0,48.0,,Operational,Lammermuir Hills,Borders,Scotland,Scotland,,357000,660000.0,31/03/2013,"(55.83130753143636, -2.688027687587587)"
3267,4060,02/09/2013,Scottish and Southern Energy (SSE),Cathkin Braes Wind Farm (Castlemilk),Wind Onshore,3.0,3.0,1.0,,Operational,Site At Cathkin Braes/ Cathkin Road Carmunnock Glasgow,Strathclyde,Scotland,Scotland,,261220,658203.0,29/05/2013,"(55.797126989695386, -4.215310966407748)"
3268,4061,31/08/2017,ESB (Cambrian Renewable Energy Ltd / Betws Common Holdings Ltd),Mynydd y Betws,Wind Onshore,34.5,2.3,15.0,,Operational,"Mynydd y Betws, Betws, Ammanford",Dyfed,Wales,Wales,,267000,210000.0,01/04/2013,"(51.772824702381065, -3.9290363114263873)"
3269,4062,18/12/2014,Green Cat Renewables,Ark Hill,Wind Onshore,6.4,0.8,8.0,,Operational,"Chamberwells, Glamis, Tayside",Tayside,Scotland,Scotland,,335700,742600.0,29/03/2013,"(56.57092395236859, -3.0480579919844684)"
3270,4063,03/06/2013,Arnish Electric Ltd / Farm Energy Ltd,Pentland Road Wind Farm,Wind Onshore,13.8,2.3,6.0,,Operational,"Pentland Road, Isle of Lewis",Western Isles,Scotland,Scotland,,135500,938700.0,28/03/2013,"(58.25719649171651, -6.510773625246344)"
