no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,site_address,classification_of_operation
"94","EA","ER242023182","Plastic","S","CGC Recycling Ltd","14415371","Cancelled","09/05/2024","23/08/2024","UNIT 6A STATION INDUSTRIAL ESTATE BROMYARD HR7 4HP","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"95","EA","ER24199819","Plastic","L","Chase Plastics Ltd","1593735","Active","01/01/2024","01/01/2024","Mile End Works BRANDON Suffolk IP27 0NE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"96","EA","ER242022135","Plastic","S","CHP Polymers Ltd","13262401","Active","01/01/2024","01/01/2024","CHP POLYMERS LTD CHESTERFIELD Derbyshire S419BH","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"97","EA","ER242016160","Plastic","L","Clean Tech UK Ltd","10445078","Active","01/01/2024","01/01/2024","Hemswell Business Park HEMSWELL Lincolnshire DN21 5TU","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"98","EA","ER242023133","Plastic","L","Cleantank Ltd","07152671","Active","11/01/2024","11/01/2024","Amsterdam Road HULL East Yorkshire HU7 0XF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"99","EA","ER242023186","Plastic","L","Clearfield Envirotech Ltd","12192641","Active","01/01/2024","01/01/2024","Unit MC1 Road Five WINSFORD Cheshire CW7 3RB","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"100","EA","ER242020211","Plastic","S","Concept Plastic Packaging Ltd","03491928","Active","01/01/2024","01/01/2024","40 Adams Close HEANOR Derbyshire DE75 7SW","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"101","EA","ER242020193","Plastic","L","Coveris Winsford Ltd","12372044","Active","26/02/2024","26/02/2024","20 Road One WINSFORD Cheshire CW7 3RD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"102","EA","ER242020260","Plastic","S","CPR Manufacturing Limited","04045866","Active","01/01/2024","01/01/2024","51 Dunsford Road ALFRETON Derby DE55 7RH","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"103","EA","ER242023169","Plastic","L","D L Plastics Ltd","10355223","Active","01/01/2024","01/01/2024","Unit 4 NOTTINGHAM Nottinghamshire NG16 2RX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
