unu_key,year,value
0407,2014,548
0407,2015,606
0407,2016,530
0407,2017,283
0407,2018,94
0407,2019,125
0407,2020,0
0407,2021,290.03647675077787
0407,2022,352.59959000858953
0407,2023,192.3883538541995
0501,2008,0
0501,2009,100668
0501,2010,125209
0501,2011,177922
0501,2012,0
0501,2013,0
0501,2014,118590.96194278567
0501,2015,87520.93980488057
0501,2016,84808.14758516822
0501,2017,67355
0501,2018,97313
0501,2019,80882
0501,2020,160388
0501,2021,184694
0501,2022,114817
0501,2023,60657
0502,2008,836522.9068976844
0502,2009,576440.8191552015
0502,2010,2045217
0502,2011,1710678
0502,2012,1598429
0502,2013,620
0502,2014,650148.6907978845
0502,2015,416340.44397217524
0502,2016,0
0502,2017,0
0502,2018,0
0502,2019,0
0502,2020,0
0502,2021,0
0502,2022,0
0502,2023,0
0503,2008,11104376
0503,2009,4297198.662423816
0503,2010,10889392
0503,2011,9471651
0503,2012,7401027
0503,2013,674568
0503,2014,4980654.454673481
0503,2015,596784
0503,2016,4108333.67578382
0503,2017,586983
0503,2018,550114
0503,2019,656899
0503,2020,516886
0503,2021,623308
0503,2022,544359
0503,2023,511724
0504,2008,3936096
0504,2009,2273987.253214613
0504,2010,2486781
0504,2011,2711544
0504,2012,1904790
0504,2013,1826217
0504,2014,2241321.393816503
0504,2015,1870714
0504,2016,454284
0504,2017,45906
0504,2018,56965
0504,2019,1050992.1027985844
0504,2020,36494
0504,2021,14335
0504,2022,11352
0504,2023,2214025.0768186334
0505,2011,10092133
0505,2012,6795695
0505,2013,4952567
0505,2014,5530244
0505,2015,5489496
0505,2016,3455882
0505,2017,7797849
0505,2018,9048786
0505,2019,11597866
0505,2020,13737477
0505,2021,8969644
0505,2022,10831711
0505,2023,13344588
0506,2008,456241
0506,2009,6503404
0506,2010,5898827
0506,2011,6072062
0506,2012,7356819
0506,2013,7593597
0506,2014,8924771
0506,2015,10043586
0506,2016,16025509
0506,2017,16309174
0506,2018,16890910
0506,2019,13903985
0506,2020,12235738
0506,2021,12344621
0506,2022,10507382
0506,2023,9016263
0507,2016,2017799
0507,2017,1763400
0507,2018,2168457
0507,2019,1231985
0507,2020,1127420
0507,2021,920525
0507,2022,763820
0507,2023,537547
0601,2008,281150
0601,2009,172052
0601,2010,156129
0601,2011,194753.0367971571
0601,2012,126422.92729245969
0601,2013,124934.93323425869
0601,2014,769166
0601,2015,123491.6028619535
0601,2016,197775.60614363448
0601,2017,27247
0601,2018,30875.071767399095
0601,2019,69244.0923153172
0601,2020,285966
0601,2021,797192
0601,2022,431123.4199443324
0601,2023,64825.66585907111
0602,2008,283785.2957639732
0602,2009,1525098
0602,2010,964112.9818772668
0602,2011,972899.2774436075
0602,2012,885510.6940969367
0602,2013,824120.5621324145
0602,2014,758234.3008656153
0602,2015,647277.1917684848
0602,2016,1077412.3727600377
0602,2017,1028750
0602,2018,1081745
0602,2019,661117.282378479
0602,2020,533870
0602,2021,638547
0602,2022,478812
0602,2023,382656
0701,2008,0
0701,2009,0
0701,2010,0
0701,2011,0
0701,2012,0
0701,2013,0
0701,2014,0
0701,2015,0
0701,2016,0
0701,2017,0
0701,2018,0
0701,2019,0
0701,2020,0
0701,2021,20027772
0701,2022,23781134
0701,2023,0
0702,2012,0
0702,2016,53171
0702,2018,155021
0703,2012,0
0703,2013,0
0703,2014,1252.291149379255
0703,2015,1432
0703,2016,1441
0703,2017,1296
0703,2018,4317
0703,2019,6290
0703,2020,0
0703,2021,0
0703,2022,0
0703,2023,0
0801,2008,961675
0801,2009,795409
0801,2010,785122
0801,2011,931621
0801,2012,953490
0801,2013,764957
0801,2014,777503
0801,2015,720335
0801,2016,203252
0801,2017,183014
0801,2018,172403
0801,2019,515735.0495887761
0801,2020,80505
0801,2021,107979
0801,2022,139236
0801,2023,141194
0802,2008,721054
0802,2009,0
0802,2010,361783.00771175185
0802,2011,1227047.3678223584
0802,2012,0
0802,2013,2917717
0802,2014,3003103
0802,2015,3142172
0802,2016,3325991
0802,2017,3609065
0802,2018,5573905
0802,2019,6614698
0802,2020,8685914
0802,2021,1911376
0802,2022,2838550
0802,2023,882945
0901,2008,65102496.617371194
0901,2009,49069989
0901,2010,46334149
0901,2011,93375346.79531614
0901,2012,102250303
0901,2013,108199820
0901,2014,120438209
0901,2015,143091254
0901,2016,139726778
0901,2017,136658876
0901,2018,136937827
0901,2019,162597162
0901,2020,139203410.71166253
0901,2021,151795015
0901,2022,167596117.92876917
0901,2023,151631483.7227865
0902,2008,4364649
0902,2009,3558625
0902,2010,5096743
0902,2011,4421625
0902,2012,4879006
0902,2013,4486011
0902,2014,4183301
0902,2015,4389742
0902,2016,3031056
0902,2017,7273942
0902,2018,8561830
0902,2019,4400213
0902,2020,3563613
0902,2021,5104710
0902,2022,4329911
0902,2023,4065777
1001,2008,10601
1001,2009,1468
1001,2010,1057
1001,2011,3502
1001,2012,5019
1001,2013,4787
1001,2014,3606
1001,2015,5679
1001,2016,4985
1001,2017,4983
1001,2018,4216
1001,2019,4323
1001,2020,4975
1001,2021,2515
1001,2022,11425.075750283875
1001,2023,8148.037524234728
1002,2008,25738
1002,2009,28288
1002,2010,39565
1002,2011,54393
1002,2012,81704
1002,2013,72922
1002,2014,88098
1002,2015,28615
1002,2016,19313
1002,2017,17366
1002,2018,17463
1002,2019,19270
1002,2020,9072
1002,2021,11363
1002,2022,14676
1002,2023,11971
NA,2008,971903.9149193784
NA,2009,755093.7558634975
NA,2010,2569577
NA,2023,0
