year,unu_key,value
2011,0202,37867594.71911162
2011,0203,7228273
2011,0204,10336644.017762627
2011,0205,24987653.618088037
2011,0301,53434546.368110225
2011,0302,5122844.81106081
2011,0303,14298111
2011,0304,7267522.5005316045
2011,0305,10047989.777062938
2011,0306,37723975
2011,0307,1475754
2011,0308,928248.6165118462
2011,0309,5792146
2011,0401,12560939.628
2011,0402,22408523
2011,0403,11776912.403302547
2011,0404,16924391
2011,0405,7283558
2011,0406,10841441
2011,0407,35427.16002509465
2011,0408,10137641
2011,0501,-1987714.5095143036
2011,0502,117712660
2011,0503,4517081.831211908
2011,0504,16869485
2011,0601,28547106.03679716
2011,0602,5645776.277443607
2011,0801,2660915
2011,0802,-15234
2011,0901,33860255.79531616
2011,0902,4517039
2011,1001,-110942
2011,1002,49496
2011,0112,211405.91600000003
2011,0701,74121597.85800001
2011,0703,-186883
2011,0505,83340788.218
2011,0310,-20219
2011,3001,760334
2012,0101,142309.2155751685
2012,0102,1082747
2012,0103,6414938.476333257
2012,0104,3795681.9300439274
2012,0105,31905
2012,0106,8917587.431351315
2012,0108,3318411
2012,0109,641377.1171032087
2012,0111,270087.5
2012,0113,355527
2012,0114,3598982.9352484564
2012,0201,52787454
2012,0202,27377272.708044738
2012,0203,7508772
2012,0204,7452893.180901029
2012,0205,15799151.808485605
2012,0301,54282365.0993682
2012,0302,5520277.452369188
2012,0303,14486707
2012,0304,5486971
2012,0305,7737698.634551693
2012,0306,33527481
2012,0307,997165
2012,0308,977013.8482038698
2012,0309,4738724
2012,0401,11711486.9536
2012,0402,13942467
2012,0403,6934192.116948819
2012,0404,12452538
2012,0405,6614057
2012,0406,9120967.5
2012,0407,126889.30744176563
2012,0408,8063922
2012,0501,-1062980.0190286073
2012,0502,83181321
2012,0503,3976264.415605954
2012,0504,18847216
2012,0601,16668842.927292459
2012,0602,7352581.694096936
2012,0801,1895737
2012,0802,-15234
2012,0901,51153077
2012,0902,4882857
2012,1001,-36396
2012,1002,106877
2012,0112,211405.91600000003
2012,0701,68815472.6296
2012,0703,29163
2012,0505,83340788.218
2012,0310,-20219
2012,3001,760334
2013,0101,45739.5932940552
2013,0102,1285552
2013,0103,7363482.252771577
2013,0104,5557597.653990839
2013,0105,-277195
2013,0106,11891939.234355688
2013,0108,3299694
2013,0109,754208
2013,0111,257096
2013,0113,497774
2013,0114,3916021.0322520044
2013,0201,65213599
2013,0202,26628278.039884645
2013,0203,10064551
2013,0204,7710283.750093743
2013,0205,20975918.51886309
2013,0301,48325243.84080802
2013,0302,6113622
2013,0303,16847288
2013,0304,6428221.657093712
2013,0305,3120967.626442382
2013,0306,35086414
2013,0307,988216
2013,0308,936517.7675690898
2013,0309,4804692
2013,0401,10862034.279199999
2013,0402,12117072
2013,0403,5541743.272303969
2013,0404,11853236.313819226
2013,0405,9498467
2013,0406,7400494
2013,0407,218351.45485843663
2013,0408,6214975
2013,0501,-138245.5285429107
2013,0502,88835048
2013,0503,3435447
2013,0504,24369339
2013,0601,24106136.93323426
2013,0602,7182126.562132414
2013,0801,2166514
2013,0802,-15234
2013,0901,48861089
2013,0902,4048809
2013,1001,109851
2013,1002,65804
2013,0112,211405.91600000003
2013,0701,63509347.4012
2013,0703,117714
2013,0505,83340788.218
2013,0310,-20219
2013,3001,760334
2014,0101,-5712.071345172488
2014,0102,1334233
2014,0103,7869249.652219348
2014,0104,5214816.159240723
2014,0105,-146508
2014,0106,10085361.936960015
2014,0108,3825764
2014,0109,862423.8543040082
2014,0111,371743
2014,0113,643255
2014,0114,3917142
2014,0201,71692602
2014,0202,26560028
2014,0203,11411816
2014,0204,8575895.736629851
2014,0205,22213066.35009826
2014,0301,43666487.49274509
2014,0302,4514447.22849768
2014,0303,16762268
2014,0304,7036757
2014,0305,3795516.3394995444
2014,0306,32234838.331240192
2014,0307,1173592
2014,0308,955778.3274166298
2014,0309,5837037
2014,0401,10012581.6048
2014,0402,10988977.443767235
2014,0403,6935839.642889371
2014,0404,9777318
2014,0405,10740645
2014,0406,9490639
2014,0407,499503
2014,0408,6868402
2014,0501,786488.9619427854
2014,0502,64248457.69079788
2014,0503,7158541.45467348
2014,0504,20593963.393816505
2014,0601,31746912
2014,0602,5330977.300865615
2014,0801,3822293
2014,0802,-15234
2014,0901,111720483
2014,0902,3858487
2014,1001,174229
2014,1002,15257.5
2014,0112,211405.91600000003
2014,0701,58203222.172800004
2014,0703,-12916.708850620722
2014,0505,83340788.218
2014,0310,-20219
2014,3001,760334
2015,0101,29826.459019777016
2015,0102,1427557.7054062157
2015,0103,8168067.854564605
2015,0104,4794695.897844633
2015,0105,-24676
2015,0106,10098669
2015,0108,3928849
2015,0109,864967.9151335014
2015,0111,359054
2015,0113,326482
2015,0114,3681624
2015,0201,68697406
2015,0202,30174388
2015,0203,11661723
2015,0204,9489689.878533058
2015,0205,25605637
2015,0301,40706188.52739048
2015,0302,2471845.677012857
2015,0303,15461141
2015,0304,6072469
2015,0305,12138882.39710528
2015,0306,31725482.86217062
2015,0307,1519128
2015,0308,796131
2015,0309,4937789
2015,0401,9163128.930399999
2015,0402,12161348.982296158
2015,0403,6012713.574306598
2015,0404,8836486.28947562
2015,0405,9661739
2015,0406,9178222
2015,0407,459870
2015,0408,6923327
2015,0501,-4842473.060195119
2015,0502,63909570.44397217
2015,0503,2725375
2015,0504,18021034
2015,0601,38406720.602861956
2015,0602,6056504.191768485
2015,0801,2457770
2015,0802,-15234
2015,0901,86609801
2015,0902,5382525
2015,1001,158510
2015,1002,-35289
2015,0112,211405.91600000003
2015,0701,52897096.944400005
2015,0703,404084
2015,0505,83340788.218
2015,0310,-20219
2015,3001,760334
2016,0101,-3581.70222902816
2016,0102,1472419.3409278004
2016,0103,8753845.105033377
2016,0104,5351491.22076444
2016,0105,202175
2016,0106,12048653
2016,0108,4141489
2016,0109,854054.9140317809
2016,0111,217267
2016,0113,451998
2016,0114,3849864
2016,0201,67580983
2016,0202,31384731
2016,0203,11278048
2016,0204,9826458.74473966
2016,0205,20021233
2016,0301,44850526.77584056
2016,0302,6710434
2016,0303,15412344
2016,0304,5978507.83642212
2016,0305,10504975.224321991
2016,0306,30746866.732294858
2016,0307,1611881.761
2016,0308,646709.2188945654
2016,0309,4842976
2016,0401,8313676.256000001
2016,0402,9151654.54311695
2016,0403,6357877.528071091
2016,0404,9171080.44261631
2016,0405,10182146
2016,0406,10169098
2016,0407,424402
2016,0408,6575794
2016,0501,-4241296.855920729
2016,0502,42943986
2016,0503,6313536.67578382
2016,0504,14568500
2016,0601,46492751.60614363
2016,0602,5367105.372760037
2016,0801,1867540
2016,0802,-15234
2016,0901,107243974
2016,0902,5218061
2016,1001,304250
2016,1002,10143
2016,0112,211405.91600000003
2016,0701,47590971.716000006
2016,0703,241166
2016,0505,83340788.218
2016,0310,-20219
2016,3001,760334
2017,0101,50224.34333750566
2017,0102,1527733.123
2017,0103,10700996.880719934
2017,0104,4544104.549241519
2017,0105,251756.70899999997
2017,0106,12235725.972000001
2017,0108,4198244.305
2017,0109,857184.483800134
2017,0111,378896.453
2017,0113,724032.038
2017,0114,3578352.4850965925
2017,0201,67253875.67099999
2017,0202,26761244.202
2017,0203,13517560.201
2017,0204,8932946.40235222
2017,0205,24329855.548999995
2017,0301,14945159.404486429
2017,0302,11356640.550813649
2017,0303,13266802.434999999
2017,0304,5464420.1280000005
2017,0305,5138079.2294456065
2017,0306,25492754.690624617
2017,0307,1704635.5219999999
2017,0308,689292.203
2017,0309,5320242.743999999
2017,0401,7464223.581600001
2017,0402,8584023.094054677
2017,0403,6772468.976830954
2017,0404,9899962.235846598
2017,0405,10693415
2017,0406,10477401
2017,0407,305416
2017,0408,6100091.086
2017,0501,-3640120.6516463393
2017,0502,42943986
2017,0503,3245081
2017,0504,10554211.584999999
2017,0601,26073842.628999997
2017,0602,6657847.633000001
2017,0801,2596583.3381962585
2017,0802,-15234
2017,0901,131154601.771
2017,0902,5071357.6488333335
2017,1001,58594
2017,1002,45949.143
2017,0112,211405.91600000003
2017,0701,42284846.487600006
2017,0703,318129
2017,0505,83340788.218
2017,0310,-20219
2017,3001,760334
2018,0101,136380.3720321765
2018,0102,1631053.7010000001
2018,0103,9105687.857274558
2018,0104,3542046.42
2018,0105,174014.23499999996
2018,0106,14327326.959
2018,0108,3903386.9450000003
2018,0109,776552.856
2018,0111,540525.906
2018,0113,714971.202
2018,0114,3849697
2018,0201,54552797.07166192
2018,0202,26140102.461
2018,0203,13056865.695152318
2018,0204,8769107.353508502
2018,0205,27971474.240000002
2018,0301,40654572.549979925
2018,0302,9519420.347969929
2018,0303,15217707.419
2018,0304,5519625.891342729
2018,0305,5429972.313
2018,0306,49456725.44450091
2018,0307,1797389.2829999998
2018,0308,908643
2018,0309,6852520.032
2018,0401,6614770.907199999
2018,0402,7619425.248052308
2018,0403,5680891.317937005
2018,0404,9367633.26585687
2018,0405,9960505
2018,0406,14337427.493999999
2018,0407,280866
2018,0408,6593855.490999999
2018,0501,-3038944.4473719494
2018,0502,42943986
2018,0503,5842253
2018,0504,18452441.837
2018,0601,24596324.324767396
2018,0602,7085258.129
2018,0801,3325626.676392517
2018,0802,-15234
2018,0901,150969614.81099996
2018,0902,4924654.297666667
2018,1001,642.3919999999925
2018,1002,53207.18
2018,0112,211405.91600000003
2018,0701,36978721.2592
2018,0703,172402.611
2018,0505,83340788.218
2018,0310,-20219
2018,3001,760334
2019,0101,75777.30614157609
2019,0102,1615115.351151991
2019,0103,7938861.249856776
2019,0104,3313931.057
2019,0105,365799.37
2019,0106,12442462.015
2019,0108,1878608.651
2019,0109,889543.9047908972
2019,0111,505991.78466666664
2019,0113,838941.87
2019,0114,4468304
2019,0201,41851718.47232385
2019,0202,23082394.318000004
2019,0203,13291869.66
2019,0204,8605268.304664787
2019,0205,24688820.605308555
2019,0301,40371320.150371075
2019,0302,4815083.115
2019,0303,17496368
2019,0304,4083413.5031131795
2019,0305,3526312.724968317
2019,0306,23818004.17451768
2019,0307,1539431.833
2019,0308,804783
2019,0309,5935870.184
2019,0401,5765318.232799999
2019,0402,7269839.3830571715
2019,0403,7758804.704274486
2019,0404,8907324.088675968
2019,0405,8567582
2019,0406,12394878.011
2019,0407,499513
2019,0408,6726162
2019,0501,-2437768.2430975595
2019,0502,42943986
2019,0503,4810060.913000001
2019,0504,8194485.229798585
2019,0601,24393966.117315315
2019,0602,8637594.91437848
2019,0801,4054670.014588776
2019,0802,-15234
2019,0901,180450012.85599995
2019,0902,4777950.9465
2019,1001,67901.696
2019,1002,89263.28899999999
2019,0112,197890.75350000002
2019,0701,31672596.0308
2019,0703,192304.822
2019,0505,83340788.218
2019,0310,-20219
2019,3001,760334
2020,0101,169711.7526869154
2020,0102,1443648
2020,0103,8829766.990738237
2020,0104,3526773
2020,0105,368643.051
2020,0106,9197961.152777959
2020,0108,4011787
2020,0109,811224.2155272648
2020,0111,471457.66333333333
2020,0113,633977.03
2020,0114,4588900
2020,0201,41851718.47232385
2020,0202,25809558
2020,0203,12552201
2020,0204,9881644.818361444
2020,0205,24011319.635
2020,0301,40584038.84720199
2020,0302,757029.2322094152
2020,0303,19883692
2020,0304,3923630.5776694966
2020,0305,5777556.885283554
2020,0306,25037469
2020,0307,1148197.901
2020,0308,1047244.486
2020,0309,5402004.5940000005
2020,0401,4915865.5583999995
2020,0402,7736138.052288304
2020,0403,7515033.560853057
2020,0404,10051292.347644435
2020,0405,8161313
2020,0406,13440358
2020,0407,370365.01823837543
2020,0408,7517509.766
2020,0501,-1836592.0388231697
2020,0502,42943986
2020,0503,3561018
2020,0504,8254621
2020,0601,33382874.522000004
2020,0602,7710980.4459999995
2020,0801,3807595.0097258505
2020,0802,-15234
2020,0901,144543191.22666252
2020,0902,4631247.595333333
2020,1001,135161
2020,1002,53408.172999999995
2020,0112,184375.59100000001
2020,0701,26366470.802399993
2020,0703,509431
2020,0505,111006688.7775
2020,0310,-20219
2020,3001,760334
2021,0101,81237.78039229124
2021,0102,1809797
2021,0103,10032640.571429674
2021,0104,3763280.53648738
2021,0105,150370.58349999998
2021,0106,12924994.236885393
2021,0108,4413227.14
2021,0109,732904.5262636325
2021,0111,436923.54199999996
2021,0113,927852.124
2021,0114,4229019
2021,0201,41851718.47232385
2021,0202,34420818.177
2021,0203,14159956.059822096
2021,0204,10917526.553889183
2021,0205,17078323.106
2021,0301,55885539.16003275
2021,0302,-985493.5242851861
2021,0303,17070277.103
2021,0304,4853276.38
2021,0305,5366029.072
2021,0306,23668435
2021,0307,1362829
2021,0308,1289705.972
2021,0309,4868139.004
2021,0401,4066412.8839999996
2021,0402,6541679.010322711
2021,0403,5224272.253395793
