unu,year,value,variable,unit
0105,2010,-11063.2478,inflow,mass
0106,2010,151725.55004000003,inflow,mass
0108,2010,134789.53525,inflow,mass
0109,2010,30807.80676004192,inflow,mass
0111,2010,6125.133919109697,inflow,mass
0113,2010,32789.376,inflow,mass
0114,2010,112409.86309029991,inflow,mass
0201,2010,75406.01706,inflow,mass
0202,2010,65301.8446179918,inflow,mass
0203,2010,10989.718,inflow,mass
0204,2010,61902.757795912825,inflow,mass
0205,2010,12715.867726305718,inflow,mass
0301,2010,9013.8852,inflow,mass
0302,2010,43373.80654,inflow,mass
0303,2010,29005.20924,inflow,mass
0304,2010,73927.7844,inflow,mass
0305,2010,3482.7149404641646,inflow,mass
0306,2010,4341.9269699999995,inflow,mass
0307,2010,34828.16,inflow,mass
0308,2010,17231.974353151774,inflow,mass
0309,2010,35550.053,inflow,mass
0401,2010,5230.052997936,inflow,mass
0402,2010,7455.34167,inflow,mass
0403,2010,62646.97594304578,inflow,mass
0404,2010,47653.92207264101,inflow,mass
0405,2010,16383.799340000001,inflow,mass
0406,2010,3451.2987,inflow,mass
0407,2010,3794.8620288083393,inflow,mass
0408,2010,149095.0083,inflow,mass
0501,2010,-262.12041,inflow,mass
0502,2010,10666.239676,inflow,mass
0503,2010,758.6848870226792,inflow,mass
0504,2010,1548.742416,inflow,mass
0601,2010,78644.45382000001,inflow,mass
0602,2010,103315.02958009628,inflow,mass
0801,2010,317.24874,inflow,mass
0802,2010,-1021.2873600000001,inflow,mass
0901,2010,6974.3661600000005,inflow,mass
0902,2010,27940.26228,inflow,mass
1001,2010,3398.78,inflow,mass
1002,2010,7222.6704,inflow,mass
0112,2010,8815.626697200003,inflow,mass
0701,2010,35742.47538888,inflow,mass
0703,2010,84.8287,inflow,mass
0505,2010,5917.195963477999,inflow,mass
0310,2010,NA,inflow,mass
3001,2010,NA,inflow,mass
0101,2011,-6255.187271552783,inflow,mass
0102,2011,47908.2025,inflow,mass
0103,2011,287145.07326460193,inflow,mass
0104,2011,354246.3384912188,inflow,mass
0105,2011,-10607.034239999999,inflow,mass
0106,2011,173300.34528,inflow,mass
0108,2011,129112.66858,inflow,mass
0109,2011,30233.530939931206,inflow,mass
0111,2011,7558.2092999999995,inflow,mass
0113,2011,21082.088399999997,inflow,mass
0114,2011,108085.15772132522,inflow,mass
0201,2011,68820.14106000001,inflow,mass
0202,2011,64374.91102248976,inflow,mass
0203,2011,12288.0641,inflow,mass
0204,2011,60779.46682444425,inflow,mass
0205,2011,13743.209489948422,inflow,mass
0301,2011,21373.81854724409,inflow,mass
0302,2011,44927.34899300331,inflow,mass
0303,2011,27309.39201,inflow,mass
0304,2011,75000.83220548616,inflow,mass
0305,2011,4521.595399678323,inflow,mass
0306,2011,3395.15775,inflow,mass
0307,2011,59030.16,inflow,mass
0308,2011,20421.469563260616,inflow,mass
0309,2011,31856.803,inflow,mass
0401,2011,4898.766454920001,inflow,mass
0402,2011,5153.96029,inflow,mass
0403,2011,43927.8832643185,inflow,mass
0404,2011,49080.7339,inflow,mass
0405,2011,15586.814120000001,inflow,mass
0406,2011,3144.0178899999996,inflow,mass
0407,2011,1176.1817128331427,inflow,mass
0408,2011,141926.974,inflow,mass
0501,2011,-178.89430585628733,inflow,mass
0502,2011,8710.73684,inflow,mass
0503,2011,677.5622746817862,inflow,mass
0504,2011,1754.42644,inflow,mass
0601,2011,71082.29403162493,inflow,mass
0602,2011,130812.6363483684,inflow,mass
0801,2011,478.96469999999994,inflow,mass
0802,2011,-1021.2873600000001,inflow,mass
0901,2011,8126.461390875877,inflow,mass
0902,2011,24888.88489,inflow,mass
1001,2011,-4881.448,inflow,mass
1002,2011,4564.52112,inflow,mass
0112,2011,8815.626697200003,inflow,mass
0701,2011,33354.7190361,inflow,mass
0703,2011,-1377.32771,inflow,mass
0505,2011,5917.195963477999,inflow,mass
0310,2011,NA,inflow,mass
3001,2011,NA,inflow,mass
0101,2012,17733.151352821744,inflow,mass
0102,2012,46882.9451,inflow,mass
0103,2012,248193.96964933368,inflow,mass
0104,2012,275338.76720538654,inflow,mass
0105,2012,1466.9919,inflow,mass
0106,2012,108259.51141660496,inflow,mass
0108,2012,135357.98469,inflow,mass
0109,2012,28278.317093080474,inflow,mass
0111,2012,7211.33625,inflow,mass
0113,2012,29473.1883,inflow,mass
0114,2012,82416.70921718964,inflow,mass
0201,2012,52259.57946,inflow,mass
0202,2012,46541.36360367605,inflow,mass
0203,2012,12764.912400000001,inflow,mass
0204,2012,43823.01190369805,inflow,mass
0205,2012,8689.533494667083,inflow,mass
0301,2012,21712.946039747283,inflow,mass
0302,2012,48412.83325727778,inflow,mass
0303,2012,36804.75737235294,inflow,mass
0304,2012,56625.54072,inflow,mass
0305,2012,3481.964385548262,inflow,mass
0306,2012,3017.47329,inflow,mass
0307,2012,39886.6,inflow,mass
0308,2012,21494.304660485133,inflow,mass
0309,2012,26062.982,inflow,mass
0401,2012,4567.479911904001,inflow,mass
0402,2012,3206.76741,inflow,mass
0403,2012,25864.53659621909,inflow,mass
0404,2012,32376.5988,inflow,mass
0405,2012,14154.08198,inflow,mass
0406,2012,2645.0805749999995,inflow,mass
0407,2012,4212.72500706662,inflow,mass
0408,2012,108862.947,inflow,mass
0501,2012,-95.66820171257464,inflow,mass
0502,2012,6155.417754,inflow,mass
0503,2012,596.439662340893,inflow,mass
0504,2012,1960.1104639999999,inflow,mass
0601,2012,55840.62380642974,inflow,mass
0602,2012,170359.31785222603,inflow,mass
0801,2012,341.23265999999995,inflow,mass
0802,2012,-1021.2873600000001,inflow,mass
0901,2012,12276.73848,inflow,mass
0902,2012,26904.54207,inflow,mass
1001,2012,-1601.424,inflow,mass
1002,2012,9856.19694,inflow,mass
0112,2012,8815.626697200003,inflow,mass
0701,2012,30966.962683320002,inflow,mass
0703,2012,214.93131,inflow,mass
0505,2012,5917.195963477999,inflow,mass
0310,2012,NA,inflow,mass
3001,2012,NA,inflow,mass
0101,2013,5699.610720372219,inflow,mass
0102,2013,55664.4016,inflow,mass
0103,2013,283788.60602181655,inflow,mass
0104,2013,403148.1338204955,inflow,mass
0105,2013,-12745.426099999999,inflow,mass
0106,2013,144368.14230507807,inflow,mass
0108,2013,134594.51825999998,inflow,mass
0109,2013,33253.03072,inflow,mass
0111,2013,6864.4632,inflow,mass
0113,2013,34097.519,inflow,mass
0114,2013,89676.8816385709,inflow,mass
0201,2013,64561.46301,inflow,mass
0202,2013,42605.24486381543,inflow,mass
0203,2013,16103.281600000002,inflow,mass
0204,2013,45336.46845055121,inflow,mass
0205,2013,11536.755185374699,inflow,mass
