sector,year,value,source,target
Packaging ,2020,24818.521202903266,wmc_collected,mismanaged
Packaging ,2020,198548.16962322613,wmc_collected,formal_domestic_treatment
Packaging ,2021,688966.5271385848,la_collected_household,treated_overseas
Packaging ,2021,62633.32064896225,la_collected_household,mismanaged
Packaging ,2021,501066.565191698,la_collected_household,formal_domestic_treatment
Packaging ,2021,275586.6108554339,la_collected_other,treated_overseas
Packaging ,2021,25053.3282595849,la_collected_other,mismanaged
Packaging ,2021,200426.6260766792,la_collected_other,formal_domestic_treatment
Packaging ,2021,275586.6108554339,wmc_collected,treated_overseas
Packaging ,2021,25053.3282595849,wmc_collected,mismanaged
Packaging ,2021,200426.6260766792,wmc_collected,formal_domestic_treatment
Packaging ,2022,620123.1571255816,la_collected_household,treated_overseas
Packaging ,2022,56374.83246596196,la_collected_household,mismanaged
Packaging ,2022,450998.6597276957,la_collected_household,formal_domestic_treatment
Packaging ,2022,248049.26285023266,la_collected_other,treated_overseas
Packaging ,2022,22549.932986384785,la_collected_other,mismanaged
Packaging ,2022,180399.46389107828,la_collected_other,formal_domestic_treatment
Packaging ,2022,248049.26285023266,wmc_collected,treated_overseas
Packaging ,2022,22549.932986384785,wmc_collected,mismanaged
Packaging ,2022,180399.46389107828,wmc_collected,formal_domestic_treatment
Packaging ,2023,663911.4612539142,la_collected_household,treated_overseas
Packaging ,2023,60355.58738671947,la_collected_household,mismanaged
Packaging ,2023,482844.69909375574,la_collected_household,formal_domestic_treatment
Packaging ,2023,265564.58450156567,la_collected_other,treated_overseas
Packaging ,2023,24142.23495468779,la_collected_other,mismanaged
Packaging ,2023,193137.8796375023,la_collected_other,formal_domestic_treatment
Packaging ,2023,265564.58450156567,wmc_collected,treated_overseas
Packaging ,2023,24142.23495468779,wmc_collected,mismanaged
Packaging ,2023,193137.8796375023,wmc_collected,formal_domestic_treatment
Packaging ,2024,670703.0376923991,la_collected_household,treated_overseas
Packaging ,2024,60973.00342658174,la_collected_household,mismanaged
Packaging ,2024,487784.0274126539,la_collected_household,formal_domestic_treatment
Packaging ,2024,268281.2150769597,la_collected_other,treated_overseas
Packaging ,2024,24389.201370632698,la_collected_other,mismanaged
Packaging ,2024,195113.61096506158,la_collected_other,formal_domestic_treatment
Packaging ,2024,268281.2150769597,wmc_collected,treated_overseas
Packaging ,2024,24389.201370632698,wmc_collected,mismanaged
Packaging ,2024,195113.61096506158,wmc_collected,formal_domestic_treatment
Packaging ,2025,674130.3062156523,la_collected_household,treated_overseas
Packaging ,2025,61284.57329233202,la_collected_household,mismanaged
Packaging ,2025,490276.58633865614,la_collected_household,formal_domestic_treatment
Packaging ,2025,269652.1224862609,la_collected_other,treated_overseas
Packaging ,2025,24513.82931693281,la_collected_other,mismanaged
Packaging ,2025,196110.63453546248,la_collected_other,formal_domestic_treatment
Packaging ,2025,269652.1224862609,wmc_collected,treated_overseas
Packaging ,2025,24513.82931693281,wmc_collected,mismanaged
Packaging ,2025,196110.63453546248,wmc_collected,formal_domestic_treatment
Packaging ,2026,676713.8334457303,la_collected_household,treated_overseas
Packaging ,2026,61519.439404157296,la_collected_household,mismanaged
Packaging ,2026,492155.51523325837,la_collected_household,formal_domestic_treatment
Packaging ,2026,270685.5333782921,la_collected_other,treated_overseas
Packaging ,2026,24607.77576166292,la_collected_other,mismanaged
Packaging ,2026,196862.20609330336,la_collected_other,formal_domestic_treatment
Packaging ,2026,270685.5333782921,wmc_collected,treated_overseas
Packaging ,2026,24607.77576166292,wmc_collected,mismanaged
Packaging ,2026,196862.20609330336,wmc_collected,formal_domestic_treatment
Packaging ,2027,678513.4927093907,la_collected_household,treated_overseas
Packaging ,2027,61683.04479176279,la_collected_household,mismanaged
Packaging ,2027,493464.3583341023,la_collected_household,formal_domestic_treatment
Packaging ,2027,271405.3970837563,la_collected_other,treated_overseas
Packaging ,2027,24673.217916705118,la_collected_other,mismanaged
Packaging ,2027,197385.74333364094,la_collected_other,formal_domestic_treatment
Packaging ,2027,271405.3970837563,wmc_collected,treated_overseas
Packaging ,2027,24673.217916705118,wmc_collected,mismanaged
Packaging ,2027,197385.74333364094,wmc_collected,formal_domestic_treatment
Packaging ,2028,680166.423374599,la_collected_household,treated_overseas
Packaging ,2028,61833.311215872636,la_collected_household,mismanaged
