year,source,target,material,value,data_source_id,product
2023,Placed on the market,Non-consumer,HDPE,264870.73522345023,0047_0038,Packaging
2023,Placed on the market,Non-consumer,LDPE,246416.62662181645,0047_0038,Packaging
2023,Placed on the market,Non-consumer,Other,7598.750600672754,0047_0038,Packaging
2023,Placed on the market,Non-consumer,PE,110724.65160980298,0047_0038,Packaging
2023,Placed on the market,Non-consumer,PET,86842.86400768862,0047_0038,Packaging
2023,Placed on the market,Non-consumer,PP,136777.51081210957,0047_0038,Packaging
2023,Placed on the market,Non-consumer,PS,23881.787602114367,0047_0038,Packaging
2023,Placed on the market,Non-consumer,PVC,7598.7506006727535,0047_0038,Packaging
2014,Consumer,Consumer - Bottle,HDPE,252320.06785411367,0047_0038,Packaging
2014,Consumer,Consumer - Bottle,LDPE,0,0047_0038,Packaging
2014,Consumer,Consumer - Bottle,Other,0,0047_0038,Packaging
2014,Consumer,Consumer - Bottle,PE,941.4927905004241,0047_0038,Packaging
2014,Consumer,Consumer - Bottle,PET,326697.9983036472,0047_0038,Packaging
2014,Consumer,Consumer - Bottle,PP,16005.37743850721,0047_0038,Packaging
2014,Consumer,Consumer - Bottle,PS,0,0047_0038,Packaging
2014,Consumer,Consumer - Bottle,PVC,0,0047_0038,Packaging
2014,Consumer,Consumer - Film,HDPE,83792.85835453773,0047_0038,Packaging
2014,Consumer,Consumer - Film,LDPE,112037.64206955046,0047_0038,Packaging
2014,Consumer,Consumer - Film,Other,16005.37743850721,0047_0038,Packaging
2014,Consumer,Consumer - Film,PE,19771.348600508907,0047_0038,Packaging
2014,Consumer,Consumer - Film,PET,26361.798134011875,0047_0038,Packaging
2014,Consumer,Consumer - Film,PP,103564.20695504665,0047_0038,Packaging
2014,Consumer,Consumer - Film,PS,1882.9855810008482,0047_0038,Packaging
2014,Consumer,Consumer - Film,PVC,8473.435114503816,0047_0038,Packaging
2014,Consumer,Consumer - Other,HDPE,51782.10347752333,0047_0038,Packaging
2014,Consumer,Consumer - Other,LDPE,21654.334181509756,0047_0038,Packaging
2014,Consumer,Consumer - Other,Other,0,0047_0038,Packaging
2014,Consumer,Consumer - Other,PE,941.4927905004241,0047_0038,Packaging
2014,Consumer,Consumer - Other,PET,37659.71162001696,0047_0038,Packaging
2014,Consumer,Consumer - Other,PP,71553.45207803222,0047_0038,Packaging
2014,Consumer,Consumer - Other,PS,2824.4783715012722,0047_0038,Packaging
2014,Consumer,Consumer - Other,PVC,1882.9855810008482,0047_0038,Packaging
