variable,year,forecast_type,level,total,method,exogenous_factor,material1,application,material,domestic_production,net_imports,,
Placed on market,2017,,,155267.1756,,,Plastic,PTT,pp,77633.58779,77633.58779,,
Placed on market,2017,,,54631.04326,,,Plastic,PTT,ps,27315.52163,27315.52163,,
Placed on market,2017,,,12459.71162,,,Plastic,PTT,pvc,6229.85581,6229.85581,,
Placed on market,2018,,,506654.5415,,,Plastic,Bottle,hdpe,253327.2708,253327.2708,,
Placed on market,2018,,,0,,,Plastic,Bottle,ldpe,0,0,,
Placed on market,2018,,,508.1790788,,,Plastic,Bottle,other,254.0895394,254.0895394,,
Placed on market,2018,,,1524.537236,,,Plastic,Bottle,pe,762.2686182,762.2686182,,
Placed on market,2018,,,451771.201,,,Plastic,Bottle,pet,225885.6005,225885.6005,,
Placed on market,2018,,,17278.08868,,,Plastic,Bottle,pp,8639.044339,8639.044339,,
Placed on market,2018,,,0,,,Plastic,Bottle,ps,0,0,,
Placed on market,2018,,,0,,,Plastic,Bottle,pvc,0,0,,
Placed on market,2018,,,61997.84761,,,Plastic,Film,hdpe,30998.92381,30998.92381,,
Placed on market,2018,,,353184.4598,,,Plastic,Film,ldpe,176592.2299,176592.2299,,
Placed on market,2018,,,36080.71459,,,Plastic,Film,other,18040.3573,18040.3573,,
Placed on market,2018,,,107225.7856,,,Plastic,Film,pe,53612.89281,53612.89281,,
Placed on market,2018,,,38113.43091,,,Plastic,Film,pet,19056.71545,19056.71545,,
Placed on market,2018,,,118405.7254,,,Plastic,Film,pp,59202.86268,59202.86268,,
Placed on market,2018,,,3557.253551,,,Plastic,Film,ps,1778.626776,1778.626776,,
Placed on market,2018,,,6098.148945,,,Plastic,Film,pvc,3049.074473,3049.074473,,
Placed on market,2018,,,56916.05682,,,Plastic,Other,hdpe,28458.02841,28458.02841,,
Placed on market,2018,,,22359.87947,,,Plastic,Other,ldpe,11179.93973,11179.93973,,
Placed on market,2018,,,1016.358158,,,Plastic,Other,other,508.1790788,508.1790788,,
Placed on market,2018,,,2032.716315,,,Plastic,Other,pe,1016.358158,1016.358158,,
Placed on market,2018,,,42687.04262,,,Plastic,Other,pet,21343.52131,21343.52131,,
Placed on market,2018,,,80800.47353,,,Plastic,Other,pp,40400.23676,40400.23676,,
Placed on market,2018,,,3049.074473,,,Plastic,Other,ps,1524.537236,1524.537236,,
Placed on market,2018,,,2032.716315,,,Plastic,Other,pvc,1016.358158,1016.358158,,
Placed on market,2018,,,32523.46104,,,Plastic,PTT,hdpe,16261.73052,16261.73052,,
Placed on market,2018,,,1016.358158,,,Plastic,PTT,ldpe,508.1790788,508.1790788,,
Placed on market,2018,,,3049.074473,,,Plastic,PTT,other,1524.537236,1524.537236,,
Placed on market,2018,,,8130.86526,,,Plastic,PTT,pe,4065.43263,4065.43263,,
Placed on market,2018,,,174813.6031,,,Plastic,PTT,pet,87406.80155,87406.80155,,
Placed on market,2018,,,164650.0215,,,Plastic,PTT,pp,82325.01076,82325.01076,,
Placed on market,2018,,,54883.34051,,,Plastic,PTT,ps,27441.67025,27441.67025,,
Placed on market,2018,,,8639.044339,,,Plastic,PTT,pvc,4319.52217,4319.52217,,
Placed on market,2019,,,553174.8252,,,Plastic,Bottle,hdpe,276587.4126,276587.4126,,
Placed on market,2019,,,0,,,Plastic,Bottle,ldpe,0,0,,
Placed on market,2019,,,1080.41958,,,Plastic,Bottle,other,540.2097902,540.2097902,,
Placed on market,2019,,,2160.839161,,,Plastic,Bottle,pe,1080.41958,1080.41958,,
Placed on market,2019,,,482947.5524,,,Plastic,Bottle,pet,241473.7762,241473.7762,,
Placed on market,2019,,,18367.13287,,,Plastic,Bottle,pp,9183.566434,9183.566434,,
Placed on market,2019,,,0,,,Plastic,Bottle,ps,0,0,,
Placed on market,2019,,,0,,,Plastic,Bottle,pvc,0,0,,
Placed on market,2019,,,25930.06993,,,Plastic,Film,hdpe,12965.03497,12965.03497,,
Placed on market,2019,,,357618.8811,,,Plastic,Film,ldpe,178809.4406,178809.4406,,
Placed on market,2019,,,56181.81818,,,Plastic,Film,other,28090.90909,28090.90909,,
Placed on market,2019,,,116685.3147,,,Plastic,Film,pe,58342.65734,58342.65734,,
Placed on market,2019,,,47538.46154,,,Plastic,Film,pet,23769.23077,23769.23077,,
Placed on market,2019,,,108041.958,,,Plastic,Film,pp,54020.97902,54020.97902,,
Placed on market,2019,,,5402.097902,,,Plastic,Film,ps,2701.048951,2701.048951,,
Placed on market,2019,,,3241.258741,,,Plastic,Film,pvc,1620.629371,1620.629371,,
Placed on market,2019,,,54020.97902,,,Plastic,Other,hdpe,27010.48951,27010.48951,,
Placed on market,2019,,,22688.81119,,,Plastic,Other,ldpe,11344.40559,11344.40559,,
Placed on market,2019,,,2160.839161,,,Plastic,Other,other,1080.41958,1080.41958,,
Placed on market,2019,,,3241.258741,,,Plastic,Other,pe,1620.629371,1620.629371,,
Placed on market,2019,,,47538.46154,,,Plastic,Other,pet,23769.23077,23769.23077,,
Placed on market,2019,,,86433.56643,,,Plastic,Other,pp,43216.78322,43216.78322,,
Placed on market,2019,,,2160.839161,,,Plastic,Other,ps,1080.41958,1080.41958,,
